timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse
1784880730650,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,25,c,1784880726882,
1784880730650,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,25,c,1784880727802,
1784880731722,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,30,c,1784880726882,
1784880731722,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,30,c,1784880731313,
1784880732801,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,5,c,1784880726882,
1784880732801,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,5,c,1784880731313,
1784880733873,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,10,c,1784880726882,
1784880733873,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,10,c,1784880732982,
1784880734948,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,15,c,1784880726882,
1784880734948,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,15,c,1784880734061,
1784880736020,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,25,c,1784880726882,
1784880736020,watch2,73,72,1,1,playing,watch2,attack_challenge,,watch2,True,25,c,1784880735109,
1784880737127,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,30,c,1784880726882,
1784880737127,watch2,74,72,2,2,playing,watch2,attack_challenge,,watch2,True,30,c,1784880736341,
1784880738240,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,5,c,1784880738005,
1784880738240,watch2,74,72,2,2,playing,watch2,attack_challenge,,watch2,True,5,c,1784880736341,
1784880739312,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,10,c,1784880738005,
1784880739312,watch2,74,72,2,2,playing,watch2,attack_challenge,,watch2,True,10,c,1784880738256,
1784880740448,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,15,c,1784880739335,
1784880740448,watch2,75,72,3,3,playing,watch2,attack_challenge,,watch2,True,15,c,1784880740369,
1784880741568,watch1,74,71,3,3,playing,watch2,attack_challenge,,watch2,False,20,c,1784880740439,
1784880741568,watch2,76,72,4,4,playing,watch2,attack_challenge,,watch2,True,20,c,1784880741393,
1784880742710,watch1,75,71,4,4,playing,watch2,attack_challenge,,watch2,False,5,c,1784880742064,
1784880742710,watch2,76,72,4,4,playing,watch2,attack_challenge,,watch2,True,5,c,1784880742654,
1784880743882,watch1,75,71,4,4,playing,watch2,attack_challenge,,watch2,False,30,c,1784880742064,
1784880743882,watch2,76,72,4,4,playing,watch2,attack_challenge,,watch2,True,30,c,1784880743766,
1784880744963,watch1,76,71,5,5,playing,watch2,attack_challenge,,watch2,False,5,c,1784880744094,
1784880744963,watch2,76,72,4,4,playing,watch2,attack_challenge,,watch2,True,5,c,1784880743766,
1784880746096,watch1,76,71,5,5,playing,watch2,attack_challenge,,watch2,False,15,c,1784880746037,
1784880746096,watch2,77,72,5,5,playing,watch2,attack_challenge,,watch2,True,15,c,1784880745399,
1784880747224,watch1,76,71,5,5,playing,watch2,attack_challenge,,watch2,False,20,c,1784880747090,
1784880747224,watch2,77,72,5,5,playing,watch2,attack_challenge,,watch2,True,20,c,1784880747090,
1784880748301,watch1,77,71,6,6,playing,watch2,attack_challenge,,watch2,False,25,c,1784880748120,
1784880748301,watch2,78,72,6,6,playing,watch2,attack_challenge,,watch2,True,25,c,1784880747435,
1784880749370,watch1,77,71,6,6,playing,watch2,attack_challenge,,watch2,False,30,c,1784880749208,
1784880749370,watch2,79,72,7,7,playing,watch2,attack_challenge,,watch2,True,30,c,1784880748437,
1784880750541,watch1,79,71,8,8,playing,watch2,attack_challenge,,watch2,False,5,c,1784880750299,
1784880750541,watch2,80,72,8,8,playing,watch2,attack_challenge,,watch2,True,5,c,1784880750452,
1784880751606,watch1,79,71,8,8,playing,watch2,attack_challenge,,watch2,False,10,c,1784880751450,
1784880751606,watch2,80,72,8,8,playing,watch2,attack_challenge,,watch2,True,10,c,1784880750452,
1784880752684,watch1,79,71,8,8,playing,watch2,attack_challenge,,watch2,False,15,c,1784880752500,
1784880752684,watch2,80,72,8,8,playing,watch2,attack_challenge,,watch2,True,15,c,1784880752500,
1784880753847,watch1,79,71,8,8,playing,watch2,attack_challenge,,watch2,False,20,c,1784880753637,
1784880753847,watch2,81,72,9,9,playing,watch2,attack_challenge,,watch2,True,20,c,1784880753637,
1784880755012,watch1,79,71,8,8,playing,watch1,attack_challenge,,watch1,True,5,c,1784880754815,
1784880755012,watch2,81,72,9,9,playing,watch1,attack_challenge,,watch1,False,5,c,1784880754815,
1784880756087,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,c,1784880755209,
1784880756087,watch2,82,72,10,10,playing,watch1,attack_challenge,,watch1,False,5,c,1784880755520,
1784880757185,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,c,1784880756937,
1784880757185,watch2,83,72,11,11,playing,watch1,attack_challenge,,watch1,False,5,c,1784880756511,
1784880758260,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,c,1784880757988,
1784880758260,watch2,83,72,11,11,playing,watch1,attack_challenge,,watch1,False,5,c,1784880757988,
1784880759347,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,c,1784880759104,
1784880759347,watch2,83,72,11,11,playing,watch1,attack_challenge,,watch1,False,5,c,1784880759104,
1784880760464,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,c,1784880760211,
1784880760464,watch2,83,72,11,11,playing,watch1,attack_challenge,,watch1,False,5,c,1784880760211,
1784880761538,watch1,82,71,11,11,playing,watch1,attack_challenge,,watch1,True,5,c,1784880761236,
1784880761538,watch2,82,72,10,10,playing,watch1,attack_challenge,,watch1,False,5,c,1784880760605,
1784880762621,watch1,82,71,11,11,playing,watch1,attack_challenge,,watch1,True,5,c,1784880762416,
1784880762621,watch2,82,72,10,10,playing,watch1,attack_challenge,,watch1,False,5,c,1784880762416,
1784880763701,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,a,1784880763329,
1784880763701,watch2,81,72,9,9,playing,watch1,attack_challenge,,watch1,False,5,a,1784880762629,
1784880764792,watch1,81,71,10,10,playing,watch1,attack_challenge,,watch1,True,5,a,1784880764521,
1784880764792,watch2,80,72,8,8,playing,watch1,attack_challenge,,watch1,False,5,a,1784880764649,
1784880765873,watch1,80,71,9,9,playing,watch1,attack_challenge,,watch1,True,5,a,1784880765319,
1784880765873,watch2,79,72,7,7,playing,watch1,attack_challenge,,watch1,False,5,a,1784880765647,
1784880766951,watch1,79,71,8,8,playing,watch1,attack_challenge,,watch1,True,5,a,1784880766367,
1784880766951,watch2,78,72,6,6,playing,watch1,attack_challenge,,watch1,False,5,a,1784880766683,
1784880768055,watch1,79,71,8,8,playing,watch1,attack_challenge,,watch1,True,5,c,1784880767632,
1784880768055,watch2,78,72,6,6,playing,watch1,attack_challenge,,watch1,False,5,c,1784880766683,
1784880769124,watch1,77,71,6,6,playing,watch1,attack_challenge,,watch1,True,5,c,1784880768405,
1784880769124,watch2,78,72,6,6,playing,watch1,attack_challenge,,watch1,False,5,c,1784880768682,
1784880770204,watch1,77,71,6,6,playing,watch1,attack_challenge,,watch1,True,5,c,1784880769733,
1784880770204,watch2,78,72,6,6,playing,watch1,attack_challenge,,watch1,False,5,c,1784880769733,
