timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse,attackers,attack_count,attack_mode,challenge_direction,score,score_change,score_reason
1785738781456,watch1,73,70,3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738780624,,,0,attack_challenge,up,0,,
1785738781456,watch2,72,76,-4,4,playing,watch1,attack_challenge,,watch2,True,10,c,1785738778349,,,0,attack_challenge,up,0,,
1785738782356,watch2,71,76,-5,5,playing,watch1,attack_challenge,,watch2,True,10,c,1785738782356,,,0,attack_challenge,up,0,,
1785738782756,watch1,71,70,1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738782636,,,0,attack_challenge,up,0,,
1785738782756,watch2,71,76,-5,5,playing,watch1,attack_challenge,,watch2,True,10,c,1785738782356,,,0,attack_challenge,up,0,,
1785738783895,watch1,71,70,1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738782636,,,0,attack_challenge,up,0,,
1785738783895,watch2,71,76,-5,5,playing,watch1,attack_challenge,,watch2,True,10,c,1785738783595,,,0,attack_challenge,up,0,,
1785738784706,watch1,70,70,0,0,playing,watch1,attack_challenge,,,False,,,1785738784706,,,,,,0,,
1785738785028,watch1,70,70,0,0,playing,watch1,attack_challenge,,watch2,False,10,c,1785738784706,,,0,attack_challenge,up,0,,
1785738785028,watch2,71,76,-5,5,playing,watch1,attack_challenge,,watch2,True,10,c,1785738784652,,,0,attack_challenge,up,0,,
1785738785372,watch2,70,76,-6,6,playing,watch1,attack_challenge,,watch2,True,10,c,1785738785372,,,0,attack_challenge,up,0,,
1785738786160,watch1,70,70,0,0,playing,watch1,attack_challenge,,watch2,False,10,c,1785738785859,,,0,attack_challenge,up,0,,
1785738786160,watch2,70,76,-6,6,playing,watch1,attack_challenge,,watch2,True,10,c,1785738785372,,,0,attack_challenge,up,0,,
1785738786670,watch1,69,70,-1,1,playing,watch1,attack_challenge,,,False,,,1785738786670,,,,,,0,,
1785738787317,watch1,69,70,-1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738786670,,,0,attack_challenge,up,0,,
1785738787317,watch2,70,76,-6,6,playing,watch1,attack_challenge,,watch2,True,10,c,1785738786904,,,0,attack_challenge,up,0,,
1785738788483,watch1,69,70,-1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738787955,,,0,attack_challenge,up,0,,
1785738788483,watch2,70,76,-6,6,playing,watch1,attack_challenge,,watch2,True,10,c,1785738787955,,,0,attack_challenge,up,0,,
1785738789394,watch2,69,76,-7,7,playing,watch1,attack_challenge,,watch2,True,10,c,1785738789394,,,0,attack_challenge,up,0,,
1785738789612,watch1,69,70,-1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738789104,,,0,attack_challenge,up,0,,
1785738789612,watch2,69,76,-7,7,playing,watch1,attack_challenge,,watch2,True,10,c,1785738789394,,,0,attack_challenge,up,0,,
1785738790394,watch2,68,76,-8,8,playing,watch1,attack_challenge,,watch2,True,10,c,1785738790394,,,0,attack_challenge,up,0,,
1785738790753,watch1,69,70,-1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738790208,,,0,attack_challenge,up,0,,
1785738790753,watch2,68,76,-8,8,playing,watch1,attack_challenge,,watch2,True,10,c,1785738790394,,,0,attack_challenge,up,0,,
1785738791873,watch1,69,70,-1,1,playing,watch1,attack_challenge,,watch2,False,10,c,1785738791298,,,0,attack_challenge,up,0,,
1785738791873,watch2,68,76,-8,8,playing,watch1,attack_challenge,,watch2,True,10,c,1785738790394,,,0,attack_challenge,up,0,,
1785738792399,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738792399,,,0,attack_challenge,up,0,,
1785738792714,watch1,68,70,-2,2,playing,watch1,attack_challenge,,,False,,,1785738792714,,,,,,0,,
1785738792978,watch1,68,70,-2,2,playing,watch1,attack_challenge,,watch2,False,10,c,1785738792714,,,0,attack_challenge,up,0,,
1785738792978,watch2,68,76,-8,8,playing,watch1,attack_challenge,,watch2,True,10,c,1785738792354,,,0,attack_challenge,up,0,,
1785738793685,watch1,67,70,-3,3,playing,watch1,attack_challenge,,,False,,,1785738793685,,,,,,0,,
1785738794080,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738793685,,,0,attack_challenge,up,0,,
1785738794080,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738793534,,,0,attack_challenge,up,0,,
1785738795191,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738793685,,,0,attack_challenge,up,0,,
1785738795191,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738794626,,,0,attack_challenge,up,0,,
1785738796302,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738795691,,,0,attack_challenge,up,0,,
1785738796302,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738795691,,,0,attack_challenge,up,0,,
1785738797448,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738796804,,,0,attack_challenge,up,0,,
1785738797448,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738796804,,,0,attack_challenge,up,0,,
1785738798558,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738797895,,,0,attack_challenge,up,0,,
1785738798558,watch2,67,76,-9,9,playing,watch1,attack_challenge,,watch2,True,10,c,1785738797895,,,0,attack_challenge,up,0,,
1785738799419,watch2,68,76,-8,8,playing,watch1,attack_challenge,,watch2,True,10,c,1785738799419,,,0,attack_challenge,up,0,,
1785738799725,watch1,67,70,-3,3,playing,watch1,attack_challenge,,watch2,False,10,c,1785738798987,,,0,attack_challenge,up,0,,
