timestamp,device_id,heartbeat,baseline,diff,abs_diff,game_phase,current_turn,control_mode,random_extreme,target_watch,is_target,rpm,direction,source_timestamp,collapse,attackers,attack_count,attack_mode,challenge_direction,score,score_change,score_reason,series_id,game_number
1788327976288,watch1,82,67,15,15,playing,watch1,attack_challenge,,watch2,False,20,c,1788327975692,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327976288,watch2,82,66,16,16,playing,watch1,attack_challenge,,watch2,True,20,c,1788327974694,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327977407,watch1,82,67,15,15,playing,watch1,attack_challenge,,watch2,False,20,c,1788327975692,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327977407,watch2,79,66,13,13,playing,watch1,attack_challenge,,watch2,True,20,c,1788327976718,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327978558,watch1,80,67,13,13,playing,watch1,attack_challenge,,watch2,False,20,c,1788327977950,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327978558,watch2,77,66,11,11,playing,watch1,attack_challenge,,watch2,True,20,c,1788327977725,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327979725,watch1,80,67,13,13,playing,watch1,attack_challenge,,watch2,False,20,c,1788327979657,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327979725,watch2,76,66,10,10,playing,watch1,attack_challenge,,watch2,True,20,c,1788327978737,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327980874,watch1,78,67,11,11,playing,watch1,attack_challenge,,watch2,False,20,a,1788327980042,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327980874,watch2,72,66,6,6,playing,watch1,attack_challenge,,watch2,True,20,a,1788327980745,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327982031,watch1,78,67,11,11,playing,watch1,attack_challenge,,watch2,False,20,a,1788327981722,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327982031,watch2,70,66,4,4,playing,watch1,attack_challenge,,watch2,True,20,a,1788327981764,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327983234,watch1,73,67,6,6,playing,watch1,attack_challenge,,watch2,False,20,a,1788327982581,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327983234,watch2,68,66,2,2,playing,watch1,attack_challenge,,watch2,True,20,a,1788327982740,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327984391,watch1,73,67,6,6,playing,watch1,attack_challenge,,watch2,False,20,a,1788327983809,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327984391,watch2,67,66,1,1,playing,watch1,attack_challenge,,watch2,True,20,a,1788327983809,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327985492,watch1,74,67,7,7,playing,watch1,attack_challenge,,watch2,False,20,c,1788327984568,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327985492,watch2,66,66,0,0,playing,watch1,attack_challenge,,watch2,True,20,c,1788327984772,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327986620,watch1,74,67,7,7,playing,watch1,attack_challenge,,watch2,False,20,c,1788327985877,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327986620,watch2,66,66,0,0,playing,watch1,attack_challenge,,watch2,True,20,c,1788327985877,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327987720,watch1,72,67,5,5,playing,watch1,attack_challenge,,watch2,False,20,c,1788327987044,,,0,attack_challenge,down,0,,,20260902_144615,1
1788327987720,watch2,65,66,-1,1,playing,watch1,attack_challenge,,watch2,True,20,c,1788327986772,,,0,attack_challenge,down,0,,,20260902_144615,1
